Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
100,0.984037300985156,-0.01943014121686893,1.596269901484404,0.30924030196382646
200,0.9385636895030817,0.0046851568942322735,6.143631049691834,0.07456658788781387
300,0.9823000456094428,0.034458248049453286,1.769995439055716,0.5484200507357151
400,1.2416990624504107,0.1497393500409884,24.169906245041073,2.3831757734390906
500,1.2778015218764576,0.3806489331928208,27.780152187645758,6.058215930029406
600,0.924670936505193,-0.7972262466588848,7.532906349480695,12.688249791836013
700,0.8729163827969794,0.21461302265472532,12.708361720302063,3.4156723407392455
800,1.2114172709568403,-0.08909887008100356,21.141727095684026,1.4180525597294298
900,0.9148425872842789,0.24415089140477245,8.515741271572107,3.885782122736208
1000,0.9586222743474926,0.3405258740023804,4.137772565250741,5.419637609816677
