Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
1368.703125,1561.945312,0.000000,0,0.000000,0
1144.703125,1280.945312,1950.967896,1814.712769,1630.437988,631.091309
873.703125,1022.945312,1290.900024,1954.908813,1547.007568,646.772400
714.703125,709.945312,1726.017944,-58.068909,2411.848633,-472.083832
-144.296875,399.945312,2361.746826,355.738159,2459.053223,-1790.130615
-464.296875,-294.054688,2343.836914,341.040466,1971.463989,783.020996
-794.296875,-635.054688,3306.599854,-1313.040771,2915.311035,704.589355
-1084.296875,-937.054688,1253.897095,1684.985840,2109.058105,-707.020386
-1315.296875,-1182.054688,1644.908203,-1371.054199,-84.712219,-801.265015
-1634.296875,-1583.054688,2666.760254,1494.732422,494.739807,281.163971
-1692.296875,-1664.054688,301.514648,-617.819092,3314.817139,-289.385040
-1658.296875,-1695.054688,3044.966553,131.991272,2878.560791,1467.290039
-1585.296875,-1648.054688,771.175964,210.859802,1144.350342,1853.763550
-1220.296875,-1491.054688,2946.351562,-776.694092,1499.141113,851.611816
-961.296875,-1093.054688,801.422302,486.898865,2818.880371,-908.652222
-659.296875,-804.054688,1793.819458,2338.878662,4322.522461,864.450134
-350.296875,-481.054688,2330.899414,112.622375,3865.278809,-299.489258
31.703125,-142.054688,1348.069580,1544.803345,2646.548828,549.189575
716.703125,539.945312,2614.018311,-342.265717,-382.489014,1070.631836
1008.703125,872.945312,2768.254395,910.369263,2176.365723,-404.611572
1272.703125,1135.945312,2571.564209,-602.760559,3488.095215,70.248657
1470.703125,1376.945312,1721.927734,1489.081909,3448.170898,1727.657959
1681.703125,1546.945312,2812.584961,660.353027,283.243774,2413.056152
1682.703125,1722.945312,534.288086,2827.354248,2662.702393,1456.700928
1616.703125,1648.945312,4010.867188,2528.102539,2975.551514,75.059494
1467.703125,1551.945312,2279.735840,587.064514,2634.364258,280.740234
1267.703125,1365.945312,6235.435547,2029.489624,4309.510742,1175.972290
738.703125,878.945312,2264.367188,58.955078,4439.185547,1140.588501
454.703125,539.945312,4509.736328,1730.517944,2454.216797,2686.365234
28.703125,132.945312,3600.314941,1222.782959,3438.978516,550.850708
-304.296875,-144.054688,3260.265869,2569.423096,3683.425049,-187.439209
-935.296875,-463.054688,3185.350098,948.135376,5760.648926,22.327881
-1209.296875,-1086.054688,4818.729980,3722.781250,5712.080078,2125.382812
-1419.296875,-1328.054688,4962.596680,3001.700195,6070.291016,3600.770752
-1586.296875,-1507.054688,4689.082031,4540.686523,4313.763672,4460.002441
-1663.296875,-1584.054688,5837.757812,5667.959961,5309.121094,2957.573730
-1631.296875,-1631.054688,6960.803711,5391.105469,9047.054688,4420.916504
-1481.296875,-1584.054688,9377.587891,6643.012695,10354.015625,4715.779297
-1307.296875,-1427.054688,11351.591797,8311.708984,11703.400391,8567.493164
-1073.296875,-1223.054688,17005.402344,14128.865234,16780.326172,11029.097656
-479.296875,-940.054688,32785.621094,24225.574219,35396.597656,20048.222656
-129.296875,-307.054688,658784.500000,554553.937500,723571.375000,465442.812500
177.703125,45.945312,-32856.914062,-29122.330078,-36385.000000,-22602.441406
560.703125,384.945312,-17643.199219,-16551.068359,-17946.847656,-10535.955078
852.703125,705.945312,-10885.544922,-9824.795898,-11201.433594,-6789.958496
1378.703125,1290.945312,-10060.814453,-7574.513184,-9299.517578,-5692.512695
1551.703125,1473.945312,-5085.207520,-5065.247070,-5179.960938,-3984.027588
1670.703125,1616.945312,-4286.650391,-4959.758789,-4411.283691,-3257.801025
1676.703125,1689.945312,-4896.719727,-2974.708496,-3132.879639,-3967.696289
1538.703125,1677.945312,-3867.374023,-4073.919434,-5594.305664,-3748.221436
1415.703125,1457.945312,-3098.955078,-3673.106934,-3778.872070,-3572.161133
1152.703125,1269.945312,-1952.401611,-3470.873291,-3406.945312,-1815.894775
880.703125,1022.945312,-3203.238770,-2304.599121,-2328.039062,-1091.015259
586.703125,710.945312,-1357.832642,-3356.763672,-4426.770020,-2370.890137
-190.296875,42.945312,-1892.320801,-2070.624512,-2661.665771,-887.582581
-488.296875,-307.054688,-1973.336670,-3408.447754,-3040.005859,626.270264
-830.296875,-637.054688,-1964.420288,-2153.198242,-267.025879,-2135.422852
-1065.296875,-943.054688,-2798.076172,-2292.897217,-2114.111572,-3946.732666
-1515.296875,-1235.054688,-2345.577637,-2330.459473,-2143.655273,-2237.135254
-1640.296875,-1570.054688,-1294.698486,-1639.583496,-3586.129395,-1627.331665
-1689.296875,-1680.054688,-1287.439453,-1853.022827,-802.171265,-3005.882568
-1715.296875,-1742.054688,-2749.456543,-635.464600,-1023.073425,-1378.872070
-1577.296875,-1646.054688,-263.474396,-1950.907349,-896.913879,-2226.571289
-1227.296875,-1328.054688,-60.038818,-1261.145874,-319.783203,-789.319092
-942.296875,-1088.054688,-766.644287,-1994.570679,1006.789612,-1721.536377
-653.296875,-754.054688,-596.137268,-2456.157715,-1204.904907,-2151.911133
-293.296875,-463.054688,-1496.094238,-1005.650940,-805.673645,-3637.452637
387.703125,72.945312,-1745.431152,-2122.404785,1153.513672,-1613.052368
528.703125,542.945312,-2121.264648,-1850.013794,349.376068,273.949646
1003.703125,858.945312,-1914.540161,405.597473,-1111.017334,1.652100
1267.703125,1188.945312,-275.399109,-2111.242676,-946.839966,-1146.553955
1489.703125,1400.945312,-2872.577148,-2879.041992,-897.588135,1111.663086
1674.703125,1646.945312,-3460.837646,-3713.078613,2124.415527,1314.969238
1675.703125,1672.945312,4753.986328,4467.918457,-8367.772461,-3813.550049
1596.703125,1659.945312,999.538696,-460.994080,-3659.166748,-1995.938232
1474.703125,1535.945312,253.513763,272.705017,-3129.630371,-1404.917603
1000.703125,1366.945312,-207.369568,462.818542,-1520.097656,-2367.610596
707.703125,856.945312,1620.564087,-874.607300,1431.656860,-1078.272705
376.703125,594.945312,-133.910706,-210.094025,708.494385,-1246.831665
52.703125,207.945312,525.211121,-2265.164062,-68.446213,172.884460
-326.296875,-7.054688,-1065.238525,506.192230,-1453.825317,-1696.007568
-733.296875,-798.054688,967.299988,-1689.661865,-997.197388,-2859.208740
-1215.296875,-1089.054688,-1259.323608,1283.431641,-987.328125,627.474487
-1426.296875,-1327.054688,829.210754,-709.258789,-1008.980652,-46.337158
-1582.296875,-1551.054688,-1237.511353,-515.017761,-25.577942,398.194275
-1603.296875,-1635.054688,-94.330429,203.341644,-226.359528,-612.552002
-1636.296875,-1669.054688,-1293.306274,-1478.511475,-2476.500488,-522.131836
-1837.296875,-1571.054688,1134.753418,-974.969910,-960.646667,-629.558838
-1326.296875,-1425.054688,64.697144,-2202.573486,787.599976,-94.912872
-1079.296875,-1171.054688,-649.471069,655.413147,1177.789062,-388.575287
-463.296875,-641.054688,309.240387,-897.214844,-1568.544434,-360.452576
-137.296875,-303.054688,-1122.745117,162.396500,-943.710022,-1153.091431
209.703125,47.945312,496.510986,-1449.899536,3.631378,60.750214
561.703125,384.945312,-1853.177490,-868.525818,-443.663025,-2390.031006
1158.703125,691.945312,481.924194,-2218.589844,734.159302,-3154.532227
1135.703125,1274.945312,-2436.109375,-808.135864,-332.658569,-727.328125
1541.703125,1469.945312,-479.772156,595.417969,-2407.895508,-1133.138672
1649.703125,1676.945312,-1179.156616,1319.994873,713.989136,-3580.403320
