Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
41.0,1.0001429779993973,0.12370722431970652,0.18666837523003904,1.9688616246659225
82.0,1.0003175858879698,0.2509307760991394,0.19910185656244245,3.993687339006365
123.0,1.0012242911303137,0.3757650345503693,0.3106602248859258,5.980486268978812
164.0,1.002767915836221,0.5061556358519177,0.27679158362209577,8.055717141965406
205.0,0.9973624432640472,0.6337409522260077,0.36690411975324855,10.08630051865338
246.0,0.9966360566451661,0.7536721699926815,0.3618043430878437,11.995065132513052
287.0,1.0010467625424144,0.8829717864483981,0.3795387165709574,14.052932442394399
328.0,1.000054199063134,1.0079020063452382,0.3946253084525986,16.041258646208355
369.0,0.9965108281787194,1.1309907885761497,0.3722285473212317,18.000277459329496
410.0,1.0034778934282134,1.2584588480458936,0.4823801100073076,20.028994634423636
