Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
40.0,1.0007157747053816,0.12398003675194214,0.2510190303265003,1.9732035693786454
80.0,1.0001725540499102,0.24856474823393865,0.10590838754334526,3.956030835982381
120.0,1.0010461818219318,0.3669828934992813,0.12631837023354237,5.840714153057721
160.0,1.0018363757805893,0.48920484318213464,0.2720287024648993,7.7859368976932215
200.0,1.0003176538490366,0.6188672535265352,0.418672355288463,9.849578251645326
241.0,1.0014934094933081,0.7433822971159921,0.3241118179476388,11.831296719301816
281.0,0.9957963171941115,0.8554270160063778,0.9195672708258007,13.614543805176492
321.0,1.0017081975860358,0.9859077571128514,0.29275132995635106,15.691209297715407
361.0,1.00129594700482,1.1039730353772892,0.5016021643300016,17.570276562045944
401.0,0.9954984882703553,1.2356343233878544,2.271944562101229,19.665731042118658
