Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-1415.734375,-1095.199219,0.000000,0,0.000000,0
-1629.734375,-1541.199219,-6162.856445,141.875183,-7494.471680,-707.045532
-1672.734375,-1645.199219,-5698.427734,-868.349182,-6327.882324,-378.611115
-1613.734375,-1675.199219,-6302.269043,-2470.166992,-5791.618164,-475.608337
-936.734375,-1446.199219,-5188.000000,632.479675,-5515.482422,-457.367188
-455.734375,-712.199219,-6882.566406,-1569.030762,-7144.502441,196.323242
35.265625,-245.199219,-6768.503906,-481.322693,-6010.176270,-1509.829346
510.265625,53.800781,-4971.164551,-213.820007,-6125.268555,-1821.419678
915.265625,873.800781,-5826.925293,-1364.213745,-6598.868164,-1095.156982
1617.265625,1527.800781,-3996.263184,-1962.176758,-7128.864258,-287.735962
1691.265625,1694.800781,-3041.638916,-1298.378906,-8054.058594,-1045.045654
1618.265625,1693.800781,-6202.623047,-2098.805908,-5059.250000,-1531.238281
1388.265625,1514.800781,-4316.285156,-861.319336,-6756.221680,-1287.450684
564.265625,1218.800781,-5148.902344,-3032.383545,-7181.694336,-1711.394653
53.265625,301.800781,-5933.824219,-1648.827148,-5848.037109,-844.854065
-473.734375,-203.199219,-3807.404053,-1174.942505,-7496.544922,-501.764709
-937.734375,-703.199219,-5039.473633,-1173.432373,-6920.476562,-3238.346924
-1320.734375,-1167.199219,-5929.794922,-2050.470215,-7945.350586,175.462646
-1687.734375,-1615.199219,-5323.697754,-1565.614380,-5811.710938,-1046.444336
-1665.734375,-1688.199219,-4936.812500,-3181.843262,-6118.689453,-3050.548828
-1416.734375,-1544.199219,-5129.325195,-2986.247803,-7175.976074,-3301.854004
-1085.734375,-1271.199219,-4969.356445,-1974.009277,-7233.750977,-2651.826172
-124.734375,-869.199219,-5442.172363,-3867.601562,-8076.486328,-3280.244385
380.265625,130.800781,-6416.161133,-3082.694824,-7693.486816,-2633.006836
872.265625,635.800781,-6725.384766,-3966.639160,-8700.814453,-3796.550781
1249.265625,1108.800781,-6296.422363,-3200.754639,-7308.597656,-2551.642822
1546.265625,1433.800781,-7823.445312,-3929.652832,-6742.106445,-3278.816406
1677.265625,1694.800781,-5671.830566,-4855.925781,-6418.043945,-3645.002441
1431.265625,1582.800781,-7471.039062,-3231.761230,-6187.422852,-4082.324219
1156.265625,1322.800781,-5765.741211,-4283.640625,-8320.789062,-5648.453613
736.265625,950.800781,-6273.794434,-6444.799805,-7975.928711,-3900.805664
-253.734375,473.800781,-6163.655273,-4587.018066,-8142.162109,-4005.159668
-792.734375,-552.199219,-6169.795410,-5860.307129,-9115.532227,-3751.588379
-1206.734375,-1032.199219,-6946.310547,-4954.406738,-9104.060547,-4956.305664
-1527.734375,-1365.199219,-6251.279297,-6151.395508,-9030.301758,-4286.624023
-1722.734375,-1595.199219,-6510.871582,-5411.469238,-9503.298828,-6241.233887
-1509.734375,-1601.199219,-5504.607422,-7745.175293,-9533.714844,-8517.306641
-1211.734375,-1357.199219,-6399.983398,-8159.362793,-8805.331055,-5689.358887
