Frequency ,Magnitude          ,Phase                 ,Magnitude Error (%) ,Phase Error (%)
     10.0 ,1.0005893841195164 ,0.0028379056663891886 ,0.21416403229823627 ,0.05364283546820314
     20.0 ,1.0014815048009333 ,0.008129028084847379  ,0.3395520156430387  ,0.12937750022363148
     30.0 ,0.9988924771148845 ,0.0105325411389619    ,0.20614573989037538 ,0.16763059855845372
     40.0 ,1.001298242471591  ,0.016533959041689396  ,0.6201270056362439  ,0.2631461310363813
     50.0 ,0.9999941431082069 ,0.0181815317669467    ,0.2960247306939068  ,0.2893680653691897
     60.0 ,1.0018298231090996 ,0.017425485178463058  ,0.3604463715176309  ,0.27733521019269647
     70.0 ,1.001576616173096  ,0.023663319691160718  ,0.23779346125482706 ,0.3766134298812018
     80.0 ,0.9988515573577699 ,0.022927673277021356  ,0.15204227590556835 ,0.36490525356339104
     90.0 ,0.9999430506024953 ,0.029379346312048527  ,0.34230312934716123 ,0.4675868190371174
    100.0 ,1.0035978412052398 ,0.03209891403869329   ,0.3651991107160413  ,0.5108700837139878
