Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
100.0,1.000407779343486,0.01607848517934422,0.19078581287034657,0.2558970393722419
200.0,0.9996417384980967,0.03185170333485396,0.23668566991365658,0.5069356031638621
300.0,1.00018681743143,0.04789763656471553,0.24734940310547682,0.7623145621693588
400.0,0.9984653073400146,0.060969328788870694,0.21617999144143196,0.9703570053743779
500.0,0.9999377317288994,0.07828408901352713,0.08515411174170315,1.2459299731948787
600.0,1.0010284892492844,0.09631847692936338,0.1592811100268343,1.532956171439087
700.0,0.9999235407731597,0.11046822459315338,0.11973901441015619,1.758156399858605
800.0,1.000908201761677,0.12758788721087044,0.14580602007675963,2.0306242928261256
900.0,1.0005922336838826,0.1433872154725429,0.1012123026910094,2.282078411863791
1000.0,1.0007976685585744,0.15656742626532202,0.14538298084129536,2.4918479817301846
