Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10.0,1.0013817526234219,0.0001659386058610682,0.19865224197578518,0.01775799290609954
20.0,0.9993110589221779,0.003923382391249159,0.10754096952330534,0.06244257012070063
30.0,0.9983841271668222,0.005207093229870639,0.16158728331778333,0.08287346266742637
40.0,0.9993551208072372,0.0085713896936245,0.14058646223388477,0.13641790389072714
50.0,1.0004403164893538,0.010174917065454361,0.1033319733717919,0.16193883465171507
60.0,1.0005290537784126,0.01194404533528676,0.1946939189418928,0.19009538556245925
70.0,1.0010664210128846,0.015287107944854,0.21632787352881655,0.24330187950029059
80.0,1.0009045745519451,0.016324418519417676,0.1144074128815697,0.25981119004662095
90.0,0.9990817063560643,0.0204247501744714,0.1230550536016239,0.32506999516841806
100.0,0.9998861412537536,0.020660786962773063,0.15838433508185806,0.32882663732939255
