Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
1347.733398,480.250000,0.000000,0,0.000000,0
1549.733398,1426.250000,2879.501221,763.442322,993.857178,-162.158813
1648.733398,1590.250000,1856.779419,1006.963013,454.527588,389.351257
1697.733398,1676.250000,1104.607910,-2561.120117,805.530762,200.622986
1541.733398,1699.250000,3599.958496,-703.389160,-1007.624939,-900.112793
1395.733398,1494.250000,1996.358643,-1341.193848,-285.941162,-1174.502075
1176.733398,1297.250000,3142.785645,-1046.006348,2145.719727,231.146301
897.733398,1038.250000,1117.247559,731.488037,2357.936035,1996.671875
590.733398,729.250000,1286.479492,-88.867584,-792.523071,-675.848267
-110.266602,94.250000,1682.057129,-1500.843384,536.595642,1282.860596
-94.266602,-233.750000,2116.664551,234.766052,815.219177,-1317.556519
-768.266602,-588.750000,1205.476807,-632.716797,-548.213928,-622.149414
-1056.266602,-912.750000,2401.599609,-509.928772,1171.672485,-662.035339
-1486.266602,-1172.750000,3383.713379,664.663208,3141.226074,-1132.556885
-1637.266602,-1562.750000,2269.902588,117.565300,854.078125,627.618896
-1677.266602,-1667.750000,1867.949585,-452.918213,2082.163574,2090.419678
-1641.266602,-1697.750000,1900.524902,-894.476074,1988.135254,484.969482
-1599.266602,-1664.750000,2702.793945,-254.408813,-492.114136,-2138.787598
-1255.266602,-1355.750000,2897.987549,-938.559631,2710.181641,-265.398621
-978.266602,-1121.750000,2090.434082,-1275.562134,2248.486328,-873.530334
-669.266602,-828.750000,2981.710938,-1143.153809,772.978516,-3063.951172
-348.266602,-497.750000,3296.727295,-1202.159546,441.358643,-1572.489746
348.733398,-191.750000,3054.592285,-789.085449,2139.362793,-1202.305664
685.733398,492.250000,3131.722168,-1181.508057,2447.817383,-1721.553223
987.733398,822.250000,3931.608643,-1820.612671,1634.501587,35.081818
1240.733398,1120.250000,2354.808105,-5180.981934,3271.828125,286.168396
1283.733398,1338.250000,2026.390991,-1776.463623,1335.073486,-1568.947754
1732.733398,1651.250000,4622.723633,-995.382568,1175.560913,-1941.481201
1726.733398,1633.250000,2864.763184,-1100.823120,3164.420410,-2613.662842
1633.733398,1646.250000,2326.011963,-1172.593994,326.270386,-3557.636719
1505.733398,1566.250000,2912.533691,0.052307,1703.906372,-4238.344238
1052.733398,1400.250000,3749.955566,-2842.034180,3702.225098,-2861.181641
676.733398,888.250000,4457.340820,-2215.706543,2539.125732,-2671.414551
402.733398,591.250000,5130.110840,-1821.143799,2958.222168,-2329.723145
67.733398,-79.750000,4624.871582,-2810.822266,3956.824219,-1424.921143
-247.266602,-101.750000,6252.329102,-3775.012207,4453.413086,-3738.677734
-903.266602,-704.750000,7517.533203,-5292.189941,5363.347656,-6023.260254
-1182.266602,-1047.750000,9897.210938,-5961.070312,8881.316406,-5117.264160
-1404.266602,-1301.750000,12600.447266,-6992.710449,11184.532227,-7802.384766
-1661.266602,-1488.750000,18166.226562,-10277.589844,14735.282227,-13085.372070
-1668.266602,-1618.750000,36186.570312,-21750.406250,31878.707031,-23244.031250
