Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
1000,0.9264110023794616,0.0651311125956399,7.358899762053839,1.0365938518670896
2000,1.0629959526736024,0.2403262869073385,6.299595267360236,3.824911651622397
3000,0.9503968854956913,0.39602430486374296,4.960311450430865,6.302922570359643
4000,1.0309789905408822,0.4723533318000734,3.0978990540882156,7.517736764190784
5000,1.0031682006167313,0.6014365774083076,0.3168200616731287,9.57216042508035
6000,1.0077370272805573,0.7803377315989024,0.7737027280557252,12.4194607265082
7000,0.9745706462576272,0.9034502784799925,2.5429353742372762,14.37885776578402
8000,0.9913859015264432,1.0119932301712573,0.8614098473556764,16.10637249572898
9000,1.0272260315497757,1.1354666932090782,2.7226031549775653,18.071513694043343
10000,1.0040784511001803,1.2418090745087418,0.4078451100180347,19.764005258443802
