Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
1000.0,0.9989066278095853,0.0330457613557545,0.22450529181104123,0.5259396268003468
2000.0,0.9980240214485627,0.06343423025819606,0.20723426361926034,1.0095871306821387
3000.0,0.9999463805815252,0.0942646139336025,0.15706519684894443,1.5002679266181995
4000.0,0.9981226245561997,0.1251811298588313,0.21015315158010356,1.992319559886146
5000.0,1.001416273745203,0.15622404986328514,0.2321130578161456,2.486382976557657
6000.0,1.0003701070906055,0.19002224033148185,0.2004325034036647,3.0242978846151454
7000.0,0.9999252537882499,0.21667346003173424,0.0754563932148788,3.448465220087473
8000.0,0.9996781423178638,0.25240856423726116,0.11765745596266527,4.017207067708831
9000.0,1.0013333025786562,0.2826578126771483,0.1333302578656203,4.498638809111116
10000.0,1.0003381991499454,0.31216891076004794,0.14335385997246594,4.968322522707439
