Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
1000,1.0044925852075595,0.03402983883787479,0.4492585207559463,0.5416017063668332
2000,1.0100025556074363,0.036305930788995196,1.0002555607436348,0.5778268348620821
3000,0.9773187942045134,0.06437805495479856,2.2681205795486603,1.0246085672697878
4000,0.9259149674318056,0.08280800327328466,7.4085032568194435,1.3179303048513102
5000,0.9761188364647502,0.15826701338280375,2.3881163535249827,2.518897750826437
6000,0.9962737210719863,0.1815786799123188,0.3726278928013693,2.889914446814658
7000,1.0110527640292444,0.2524452118564514,1.1052764029244377,4.017790332683499
8000,0.9668474300675367,0.24810905512913564,3.3152569932463294,3.948778254966151
9000,1.0094146958954637,0.29521433013722775,0.9414695895463732,4.698481991290249
10000,1.022478751333309,0.3214423097268318,2.24787513333089,5.115913251190131
