Voltage,Current,V_Real,V_Imag,C_Real,C_Imag
-590.347656,-538.182617,0.000000,0,0.000000,0
-645.347656,-625.182617,-38269.152344,2134.570312,-33024.132812,2174.239502
-718.347656,-702.182617,-38633.195312,6225.086914,-37922.917969,5613.684570
-797.347656,-776.182617,-38628.820312,7346.907715,-37765.687500,6459.634766
-933.347656,-837.182617,-42552.945312,12993.715820,-42660.582031,10001.089844
-1000.347656,-976.182617,-49379.621094,13969.904297,-49426.875000,12861.417969
-1066.347656,-1036.182617,-60490.960938,19220.113281,-58381.984375,19406.531250
-1107.347656,-1100.182617,-85442.710938,28025.714844,-83164.921875,32135.304688
-1169.347656,-1164.182617,-141146.671875,61021.601562,-141251.968750,69150.656250
-1276.347656,-1222.182617,-713040.250000,346993.781250,-703739.125000,368456.875000
-1324.347656,-1310.182617,207322.281250,-115736.453125,207493.953125,-119925.750000
-1658.347656,-1336.182617,84015.562500,-51643.070312,82244.515625,-53386.597656
-1415.347656,-1391.182617,54372.312500,-32101.013672,47761.394531,-38368.031250
-1516.347656,-1429.182617,38892.679688,-25622.605469,36479.492188,-29048.285156
-1528.347656,-1521.182617,30193.572266,-19905.777344,26660.746094,-20911.332031
-1554.347656,-1526.182617,19731.447266,-20159.140625,25748.820312,-17632.878906
-1580.347656,-1559.182617,18272.527344,-13810.451172,19828.031250,-15819.792969
-1600.347656,-1564.182617,14676.413086,-15271.469727,13437.192383,-13002.984375
-1623.347656,-1631.182617,13730.234375,-12151.537109,11812.880859,-12086.046875
-1668.347656,-1637.182617,9522.213867,-12036.806641,9504.006836,-7648.507324
-1662.347656,-1620.182617,8504.027344,-9709.530273,12591.166992,-6663.200195
-1660.347656,-1653.182617,7864.384766,-9842.384766,7301.780273,-13933.861328
-1651.347656,-1682.182617,6915.193359,-3889.239990,9255.569336,-12234.292969
-1650.347656,-1649.182617,9372.482422,-9276.143555,6108.883789,-10598.835938
-1145.347656,-1633.182617,3868.895264,-7875.543945,9720.594727,-8231.126953
-1616.347656,-1633.182617,7286.072266,-8388.976562,6889.032227,-9051.341797
-1621.347656,-1617.182617,8251.951172,-5258.068359,6797.930664,-8515.535156
-1550.347656,-1580.182617,6033.089355,-6658.896484,4983.805176,-6008.851562
-1525.347656,-1544.182617,3253.117920,-8079.654297,6607.577148,-9695.393555
-1499.347656,-1521.182617,2893.648926,-7191.470215,2877.027344,-5678.311523
-1445.347656,-1580.182617,2014.466797,-6979.524414,4793.839844,-10073.959961
-1196.347656,-1446.182617,5948.162598,-3109.462158,999.250122,-6070.056641
-1334.347656,-1361.182617,4467.510742,-3268.943359,3095.027344,-8010.625977
-1301.347656,-1324.182617,4016.656738,-3460.468750,3335.682617,-7517.455566
-1246.347656,-1273.182617,4305.210938,-3885.946533,3281.226562,-5399.720215
-1265.347656,-1224.182617,6054.321777,-3776.323242,2157.690918,-5082.605469
-1077.347656,-1111.182617,2251.778076,-4613.338867,5684.103516,-5765.097168
-1012.347656,-1055.182617,4815.099609,-4334.220703,3441.855957,-3950.570801
-969.347656,-792.182617,2928.652832,-5538.346680,1564.643799,-4567.661621
-898.347656,-801.182617,3415.229736,-5540.440430,2341.405762,-3150.434326
-775.347656,-833.182617,319.773926,-2854.020996,2712.374512,-5234.642578
-695.347656,-719.182617,3318.027344,-6608.983887,-710.470703,-1214.773926
-619.347656,-642.182617,2067.666016,-5176.179688,3209.779297,-5897.519043
-551.347656,-577.182617,5075.441895,-4917.544922,2532.019531,-2837.559570
-482.347656,-237.182617,4293.569336,-2249.172363,4595.022949,-4531.641602
-328.347656,-359.182617,3846.625488,-5395.683105,2565.495605,-3195.970215
-232.347656,-293.182617,2571.940186,-8110.041992,1824.365234,-3875.242188
-170.347656,115.817383,1741.267334,-4378.403320,464.263855,-2084.034424
-86.347656,-123.182617,3551.499512,-2384.279297,3596.283936,-5329.354004
56.652344,-51.182617,4458.379883,-854.947266,4219.883789,-2707.326172
155.652344,113.817383,-215.090393,-5100.266602,1126.941772,-2440.464355
227.652344,179.817383,2288.707520,-308.969910,3968.142334,1540.811035
289.652344,250.817383,3102.170166,-5108.512695,1218.160034,-4946.051758
362.652344,371.817383,2861.795166,-2509.464355,1758.411377,-6822.656250
555.652344,497.817383,2920.023926,-6803.833008,-177.775146,-6519.903320
611.652344,566.817383,861.642822,-4463.209961,-963.874390,-2537.532715
689.652344,643.817383,-165.373718,-5810.235352,874.252930,-3896.191895
754.652344,716.817383,-1039.050171,-1006.050781,3648.713623,-3278.920898
889.652344,772.817383,1591.323486,-1488.193359,1421.729736,-2511.651611
729.652344,915.817383,-1297.420288,-3648.624756,1322.257568,-2954.822266
1016.652344,978.817383,1658.461670,-3054.154297,769.315735,-414.846619
1093.652344,1042.817383,903.154846,-845.626709,-158.599854,-2538.419434
1157.652344,1101.817383,2693.596680,596.275024,-36.715027,-4170.431641
1263.652344,1240.817383,2994.474854,-3398.515625,2451.021973,-3397.483643
1310.652344,1281.817383,1997.100708,-5391.507324,-426.844971,-3090.992676
1355.652344,1346.817383,976.854004,-5898.679199,1852.171875,-4702.038086
1458.652344,1385.817383,4031.759033,-1979.074585,2460.630371,-2989.273682
1475.652344,1430.817383,-1733.924316,-4199.331543,2414.916992,-542.306519
1535.652344,1512.817383,-86.866211,-3241.134033,1428.959473,-4163.403320
1567.652344,1491.817383,-1063.854004,-1887.561157,1941.387817,-2398.038574
