Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
10.0,1.0014263302132416,-8.365290761845989e-05,0.1856116723198897,0.02044508902661768
20.0,0.9993247743919303,0.0038504509166770997,0.10791513197246023,0.06128182965218859
30.0,0.9985325479730495,0.0052704186369150205,0.14674520269504887,0.08388131782286837
40.0,0.9992891808261366,0.00845846043175148,0.13442295030320345,0.13462057886604667
50.0,1.0003515625524968,0.01024784001022472,0.1031880019601727,0.16309943936421725
60.0,1.0005394242162038,0.01198840849411294,0.18528890815807436,0.19080144716429498
70.0,1.001000605846655,0.015292019266965221,0.2115698831615065,0.2433800456194027
80.0,1.000692865341988,0.01635477247695108,0.09305276287713046,0.26029428828500545
90.0,0.9991629859176836,0.02027782150597678,0.11507837678450979,0.3227315527811351
100.0,0.9998795533221484,0.020681487377962663,0.1393408706219512,0.32915609466954077
