Frequency,Magnitude,Phase,Magnitude Error (%),Phase Error (%)
100,0.9419287681658222,0.27123329547153474,5.807123183417784,4.316811970539935
200,1.0167348943343728,0.03513471277093035,1.6734894334372807,0.559186321160751
300,0.9993807718511667,0.07701486037602082,0.061922814883330624,1.225729572037586
400,1.0194382108040303,0.04455370420034939,1.9438210804030298,0.7090942256539745
500,0.980385250760876,0.0340132613689363,1.9614749239123985,0.5413378677542819
600,0.9558528725558512,0.10585049456473725,4.414712744414883,1.6846629438699734
700,1.0348958276248028,0.03407569903287271,3.489582762480281,0.542331594039341
800,0.9805893999966709,-0.03595381457120459,1.941060000332906,0.5722227312016624
900,0.9510846132931743,0.5394874965915997,4.891538670682571,8.586210181882512
1000,0.7996885344984015,0.22584059450352947,20.03114655015985,3.594364696604904
