Voltage,Current
804,932
1303,1662
1977,1973
1949,1660
1344,924
671,530
583,790
1109,1541
1831,1980
2027,1841
1586,1136
857,594
513,648
900,1281
1637,1923
2043,1974
1762,1367
1039,710
578,548
734,1055
1418,1769
1984,2029
1938,1646
1303,907
669,524
601,842
1174,1605
1854,2024
2038,1792
1550,1116
836,574
539,658
948,1309
1641,1922
2041,1959
1734,1363
984,673
557,567
791,1181
1453,1777
1965,2008
1910,1601
1257,857
650,533
619,843
1194,1593
1866,2023
2002,1773
1492,1089
787,564
549,698
973,1346
1702,1919
2047,1892
1702,1311
1004,681
548,578
779,1100
1456,1807
2014,2021
1884,1550
1233,847
635,526
625,872
1207,1616
1892,2006
2004,1752
1444,1048
777,556
571,705
1034,1400
1728,1972
2072,1919
1676,1282
949,646
531,586
826,1197
1532,1842
2019,2010
1851,1515
1203,804
612,533
662,946
1270,1675
1921,2034
1959,1724
1424,1032
713,545
568,740
1065,1438
1737,1985
2029,1893
1651,1256
939,635
519,605
862,1202
1545,1876
2024,2009
1854,1466
1161,765
596,524
662,997
1314,1682
1949,2036
1971,1680
1374,968
687,534
572,761
1082,1426
1778,2008
2030,1862
1622,1191
891,609
527,622
861,1207
1677,1933
2039,1988
1798,1439
1053,744
596,542
700,994
1355,1740
1952,2040
1966,1649
1365,958
680,530
596,792
1146,1532
1829,2003
2018,1843
1570,1178
852,593
535,657
921,1288
1606,1922
2036,1968
1756,1399
1074,714
581,564
731,1032
1405,1755
1988,2023
1911,1623
1298,910
652,522
609,845
1167,1530
1860,2053
2023,1828
1548,1129
804,581
567,677
935,1367
1649,1935
2040,1950
1749,1344
1002,682
560,568
726,1025
1434,1782
1976,2029
1902,1587
1236,868
639,518
610,855
1213,1554
1850,2023
2037,1779
1499,1070
800,570
550,673
952,1331
1693,1945
2053,1937
1715,1327
1036,674
570,562
752,1090
1466,1854
2049,2017
1877,1489
1235,850
614,522
645,881
1260,1630
1910,2034
2001,1764
1468,1051
764,524
539,701
1023,1428
1728,1961
2031,1919
1679,1302
974,650
548,601
817,1177
1529,1857
2014,2010
1857,1527
1203,803
587,526
657,933
1273,1645
1989,2023
1988,1730
1443,986
728,608
587,752
1048,1450
1753,1992
2040,1889
1650,1206
911,687
537,613
818,1189
1540,1849
1991,2004
1830,1465
1137,778
594,527
675,955
1316,1528
1910,2062
1935,1672
1386,970
655,526
574,795
1096,1467
1792,2002
2024,1834
1591,1181
885,608
530,622
857,1257
1609,1905
2052,1982
1792,1438
1109,748
583,551
687,1028
1389,1725
1971,2037
1902,1665
1338,740
685,509
583,807
1114,1502
1815,1999
2038,1842
1578,1169
857,598
521,648
913,1279
1601,1908
2033,1973
1762,1417
1077,730
570,547
696,1048
1394,1742
1924,2031
1934,1635
1337,887
661,518
602,816
1178,1567
1843,1999
2013,1830
1510,1115
813,588
530,661
933,1276
1664,1912
2040,1967
1740,1350
1013,671
543,561
735,1075
1418,1763
1976,2020
1896,1582
1270,877
648,544
609,848
1180,1554
1859,2070
2053,1792
1500,1105
814,565
548,675
