Voltage,Current
630,536
1066,1982
1771,750
627,1571
2036,1216
565,1128
1928,1755
857,632
1429,2040
1459,540
918,1898
1885,868
559,1393
2044,1453
620,877
1728,1894
1036,546
1253,2034
1625,637
700,1716
2007,1132
532,1232
1973,1625
748,700
1583,1997
1208,525
1038,1915
1720,711
652,1638
2075,1245
565,1024
1890,1794
982,643
1477,2018
1413,594
976,1882
1914,903
557,1348
1970,1411
623,860
1766,1931
1083,536
1202,2013
1658,670
726,1739
1993,1089
557,1179
1966,1641
767,680
1564,2007
1226,526
1057,1957
1788,765
609,1554
1996,1305
596,1034
1901,1727
823,607
1416,2022
1493,546
818,1828
1903,881
561,1396
2028,1459
659,820
1709,1944
1153,531
1225,2023
1655,655
703,1702
2017,1061
543,1166
1971,1596
737,721
1617,1998
1268,546
1028,1951
1820,791
633,1589
2033,1260
584,988
1871,1808
944,591
1347,2028
1441,564
861,1865
1940,903
563,1287
2015,1543
703,834
1772,1926
1119,531
1134,1997
1668,666
686,1686
1993,1049
556,1186
1974,1647
789,676
1536,2022
1340,668
1040,1951
1814,787
606,1517
2051,1318
592,1001
1851,1789
913,573
1386,2040
1526,587
818,1798
1954,980
557,1374
2031,1468
665,807
1704,1892
1166,527
1125,2001
1662,682
703,1676
2023,1165
531,1102
1949,1734
845,752
1554,2021
1340,544
957,1930
1875,838
575,1477
2041,1331
584,962
1845,1833
978,575
1334,2038
1546,597
870,1857
1936,924
522,1323
2033,1538
687,778
1650,1920
1103,544
1174,2018
1714,679
674,1651
2014,1120
558,1132
1962,1686
807,622
1563,2032
1342,534
922,1908
1825,801
588,1487
2044,1374
596,909
1815,1870
1035,598
1367,2025
1542,693
791,1800
1975,1010
535,1237
2001,1608
691,778
1662,1967
1194,542
1104,2017
1792,760
692,1661
2010,1208
489,1067
1921,1757
875,615
1458,2025
1365,545
925,1908
1886,858
569,1464
2053,1393
609,960
1858,1858
988,572
1326,2035
1572,634
767,1764
1962,984
531,1247
2014,1569
711,739
1646,1982
1244,521
1143,2012
1726,707
687,1644
2031,1220
557,1023
1902,1720
844,648
1477,2037
1385,549
919,1878
1910,895
592,1452
2043,1382
609,884
1803,1898
1073,593
1209,2023
1558,602
763,1768
2013,1048
542,1202
1983,1638
769,756
1650,1971
1179,518
1057,1986
1780,753
615,1556
2083,1209
557,1059
1984,1768
896,633
1429,2106
1461,571
917,1893
1897,883
573,1396
2036,1468
656,833
1732,1893
1052,545
1269,2023
1637,666
726,1717
2007,1118
557,1253
1993,1621
748,709
1589,2003
1248,525
1044,1968
