Voltage,Current
557,688
818,967
1126,1300
1474,1624
1758,1879
1949,2011
2049,2025
1974,1879
1775,1618
1485,1297
1161,971
857,728
633,551
553,530
594,657
778,907
1051,1193
1366,1542
1694,1830
1939,1998
2044,2014
2002,1895
1821,1679
1575,1370
1213,1034
903,795
675,571
536,539
574,626
725,868
1001,1162
1338,1491
1649,1772
1886,1980
2033,2011
2018,1941
1875,1737
1613,1434
1285,1111
974,805
704,611
559,534
557,590
684,799
927,1102
1222,1419
1580,1735
1857,1978
2016,2053
2033,1985
1915,1781
1687,1512
1370,1168
1026,855
751,633
610,538
536,583
651,743
870,1048
1187,1361
1518,1677
1805,1912
1996,2019
2057,2010
1948,1836
1732,1562
1414,1252
1113,936
803,684
604,564
550,556
662,700
819,912
1109,1273
1443,1583
1747,1857
1965,2014
2049,2024
1984,1893
1808,1654
1512,1322
1170,983
856,778
661,568
533,545
596,648
755,902
1052,1219
1386,1543
1688,1817
1921,1996
2029,2131
2006,1915
1758,1691
1569,1396
1260,1049
922,766
682,585
549,596
557,627
717,838
978,1141
1294,1471
1623,1781
1899,1967
2055,2037
2027,1959
1918,1751
1646,1481
1325,1124
1008,805
726,609
554,526
552,585
675,791
922,1077
1237,1414
1558,1707
1807,1893
2015,2019
2038,1975
1946,1813
1694,1524
1414,1193
1074,859
774,648
598,529
536,569
649,726
846,1043
1167,1323
1493,1593
1791,1895
1988,1982
2043,2021
1994,1854
1754,1597
1465,1241
1113,932
822,687
622,554
540,549
622,688
791,941
1109,1270
1434,1598
1727,1855
1936,1997
2047,1992
1987,1845
1856,1657
1518,1320
1194,1011
888,733
653,548
543,534
572,645
755,879
1026,1181
1355,1504
1677,1808
1934,2144
2027,2044
2014,1944
1860,1708
1598,1400
1260,1067
938,774
696,589
559,540
562,570
709,812
974,1127
1256,1444
1609,1753
1875,1962
2025,2023
2040,2007
1898,1764
1648,1500
1326,1143
1039,830
739,619
572,520
557,590
666,740
896,1050
1225,1371
1547,1683
1818,1922
1997,2012
2023,1997
1947,2006
1710,1555
1416,1205
1064,894
780,604
599,535
531,566
631,682
852,988
1181,1320
1483,1629
1730,1881
1976,2023
2069,2001
1970,1846
1740,1600
1466,1296
1143,960
854,709
635,544
542,544
600,684
780,927
1070,1197
1443,1571
1705,1845
1937,2025
2046,2008
2001,1909
1832,1672
1529,1383
1187,1023
903,739
657,572
535,516
583,625
739,811
1015,1182
1348,1515
1655,1789
1914,1985
2030,2041
2030,1939
1867,1738
1619,1426
1283,1041
971,801
702,596
557,524
553,595
687,804
935,1107
1262,1437
1585,1738
1833,1944
2015,2045
2036,1963
1915,1776
1659,1500
1476,1150
1041,847
738,631
586,527
525,575
687,749
818,1042
1208,1363
1546,1687
1798,1924
1997,2023
2044,1993
1947,1826
1737,1556
1418,1226
1090,894
817,682
622,528
571,544
620,665
835,959
1130,1325
1440,1622
1769,1880
1960,2009
2037,2017
1975,1882
1806,1621
1490,1298
1148,971
845,710
648,548
539,528
583,664
771,780
1064,1238
1404,1549
1702,1832
1924,1995
2052,2023
2001,1907
1836,1660
1535,1374
1226,1051
909,752
674,584
548,522
578,670
726,840
948,1147
1311,1481
1626,1779
1928,1975
2029,2037
2021,1956
1858,1745
1629,1382
1287,1100
1026,806
709,612
570,518
551,597
693,796
921,1076
1267,1424
1583,1712
1849,1950
2012,2049
2040,1997
1914,1794
1675,1491
1360,1175
1021,858
714,645
583,524
537,581
640,727
870,1022
1179,1343
1502,1656
1802,1922
1989,2031
2046,2012
1966,1841
1743,1570
1442,1234
1103,932
806,667
617,543
526,543
614,684
800,955
1116,1275
1440,1599
1743,1863
1961,2015
2046,2024
1988,1892
1806,1652
1501,1324
1181,991
898,737
651,552
532,531
591,661
781,893
1049,1224
1390,1504
1639,1828
1931,2009
2007,2042
2013,1927
1844,1697
1584,1426
1238,1110
865,775
675,597
548,521
568,624
696,831
991,1167
1291,1481
1628,1766
1884,1969
2039,2023
2018,1961
