Voltage,Current
687,1349
1765,2021
2043,1836
1513,1069
763,568
609,864
1243,1660
1984,2051
1971,1619
1260,795
615,566
744,1115
1512,1867
2046,1974
1798,1375
1012,658
566,663
942,1363
1733,1997
2052,1875
1563,1110
804,547
597,832
1213,1617
1893,2046
1996,1674
1312,890
667,544
713,1033
1453,1822
2020,2012
1828,1401
1058,711
548,630
896,1320
1691,1975
2059,1905
1609,1160
844,573
573,791
1138,1582
1888,2029
2014,1713
1364,918
633,538
682,1021
1403,1820
2023,2021
1866,1450
1070,716
557,636
879,1270
1668,1982
2118,1945
1648,1141
810,581
589,780
1104,1539
1835,2072
2002,1726
1376,998
683,601
666,991
1348,1768
2004,2074
1886,1502
1128,736
576,608
843,1234
1628,1944
2066,1944
1688,1239
892,619
560,701
1067,1496
1777,2044
2031,1764
1438,959
704,569
640,933
1316,1754
1940,2042
1924,1547
1182,776
574,588
825,1196
1578,1922
2058,1961
1726,1282
913,622
561,701
1024,1443
1825,2021
2038,1819
1499,1043
748,544
622,884
1261,1709
1966,2045
1932,1565
1218,806
600,568
783,1150
1522,1897
2049,1977
1773,1340
971,642
530,676
984,1404
1771,2011
2054,1845
1524,1064
761,555
595,847
1234,1648
1947,2051
1957,1630
1290,832
621,552
731,1100
1475,1854
2041,2071
1789,1418
1022,674
557,662
935,1337
1726,1997
2053,1865
1578,1124
800,564
609,825
1186,1611
1892,2054
1978,1688
1319,881
644,543
709,1072
1438,1819
2027,2011
1831,1508
1063,696
549,630
896,1348
1719,2020
2059,1902
1609,1167
788,568
582,790
1130,1582
1885,2049
2000,1708
1341,920
669,548
683,1003
1431,1810
2011,2016
1832,1439
1113,713
542,612
883,1271
1666,1967
2079,1894
1645,1215
864,574
583,783
1117,1541
1862,2031
2005,1728
1414,937
683,571
672,978
1384,1766
2003,2087
1881,1500
1129,730
573,600
844,1233
1664,1936
2065,1980
1689,1240
894,596
565,734
1093,1494
1832,2031
2014,1775
1481,998
707,535
648,933
1316,1714
2001,2067
1911,1550
1214,783
583,584
765,1190
1574,1958
2061,1969
1727,1292
934,619
539,705
1009,1440
1792,2009
2033,1802
1483,1044
726,543
661,878
1275,1686
1971,2068
1949,1582
1225,804
600,570
776,1162
1540,1891
2040,1974
1759,1357
987,648
524,670
987,1375
1770,2020
2042,1841
1537,1094
765,545
600,855
1226,1655
1926,2067
2001,1631
1260,853
617,537
735,1101
1484,1855
2041,1999
1791,1372
1018,654
555,643
943,1347
1727,2012
2052,1875
1574,1115
803,565
591,816
1181,1618
1877,2059
1975,1659
1315,881
644,549
709,1045
1442,1764
2041,2023
1835,1431
1074,699
574,631
893,1301
1672,1972
2057,1897
1625,1163
842,563
565,762
1135,1554
1886,2024
