Voltage,Current
659,568
1328,2012
1148,588
1535,1933
950,689
1728,1789
765,958
1962,1498
566,1161
2036,1284
535,1426
2035,1038
583,1691
1913,772
703,1785
1805,629
870,1977
1634,570
1177,2032
1301,542
1392,1995
1091,613
1609,1882
878,809
1898,1647
643,1013
1975,1405
550,1223
2038,1209
555,1571
1979,883
657,1755
1895,707
805,1854
1698,585
1071,2021
1393,525
1314,2011
1174,575
1507,1944
978,759
1858,1724
700,916
1928,1531
596,1141
2015,1310
533,1448
2027,991
576,1662
1949,791
666,1862
1842,663
936,2019
1544,543
1148,2034
1339,544
1371,1985
1075,660
1653,1815
810,821
1919,1645
661,1011
1983,1504
556,1334
2031,1118
536,1530
1993,907
615,1738
1909,744
816,1945
1661,554
1013,2023
1468,516
1233,2021
1196,579
1568,1901
917,708
1753,1761
732,917
1896,1534
596,1235
2041,1201
532,1458
2045,985
574,1707
1960,797
758,1912
1744,594
927,2015
1549,529
1155,2035
1324,563
1467,1959
1010,648
1695,1825
844,800
1847,1686
635,1134
2012,1345
535,1322
2049,1074
575,1541
2004,911
641,1833
1845,688
810,1946
1674,599
1031,2025
1470,520
1308,2008
1130,585
1584,1937
944,691
1728,1794
752,932
1949,1499
589,1134
2023,1272
539,1399
2044,1068
597,1695
1940,765
699,1902
1806,662
844,1971
1627,549
1322,2012
1300,527
1385,2003
1109,605
1592,1893
877,770
1860,1647
706,1002
1988,1439
570,1234
2060,1200
557,1571
1994,877
561,1754
1896,723
779,1913
1694,561
1062,2023
1392,527
1283,2021
1170,565
1503,1952
931,748
1785,1738
698,910
1936,1515
583,1130
2017,1315
531,1478
2017,1002
574,1659
1958,812
674,1835
1832,622
925,1977
1559,532
1137,2023
1325,529
1355,1999
1106,648
1675,1826
822,796
1861,1649
665,985
1963,1476
573,1304
2044,1147
532,1466
2018,908
599,1726
1926,751
807,1945
1684,575
978,2020
1485,534
1207,2057
1261,569
1514,1926
948,689
1702,1841
768,906
1910,1557
601,1197
2053,1273
534,1419
2036,1031
557,1648
1976,822
735,1881
1747,609
894,1986
1572,541
1098,1990
1366,536
1427,1971
1042,631
1628,1867
842,762
1818,1709
678,1056
1997,1379
578,1276
2040,1181
557,1486
2016,933
650,1796
1853,679
784,1944
1691,579
983,2012
1496,524
1300,2014
1148,569
1520,1945
950,673
1721,1781
781,928
1945,1515
581,1130
2015,1297
526,1375
2039,1065
600,1675
1945,775
700,1841
1811,637
852,1960
1631,544
1174,2048
1310,534
1376,1997
1160,599
1597,1910
880,799
1857,1644
657,1001
1974,1451
574,1220
2097,1193
561,1551
1999,932
609,1740
1910,726
770,1921
1720,585
1052,1983
1408,487
1260,2018
1195,555
1494,1945
982,746
1786,1738
703,902
1923,1541
635,1125
2002,1328
527,1451
2044,1013
591,1631
1959,816
669,1828
1832,660
907,1989
1383,538
1131,2034
1315,495
1350,2005
1122,641
1674,1834
806,781
1837,1676
671,985
1962,1477
579,1302
2033,1143
543,1496
2040,921
600,1712
1931,772
791,1931
1693,582
960,2006
1511,532
1187,2035
1279,566
1519,1937
958,671
1708,1751
783,877
1914,1561
609,1188
2016,1249
531,1419
2030,1050
566,1631
1924,822
729,1883
1770,534
881,1969
1593,537
1087,2041
1376,550
1417,1973
1052,624
1625,1875
857,756
1778,1725
700,1037
2004,1425
563,1245
2031,1202
526,1512
2015,946
648,1737
1910,674
793,1930
1694,564
984,2008
1503,504
1290,1978
1178,561
1518,1960
965,696
1700,1817
778,922
1937,1524
600,1132
2023,1331
553,1375
2044,1088
571,1676
1944,785
684,1811
1822,646
843,1960
1652,551
1130,2103
1365,530
1357,1997
1116,519
1571,1902
903,802
1846,1671
644,971
1962,1477
572,1202
2041,1221
543,1516
2006,927
627,1712
1909,752
776,1922
1714,592
1052,2024
1432,510
1256,2022
1210,554
1475,2026
978,731
1792,1738
717,864
1919,1555
604,1100
1990,1333
617,1448
2049,1010
578,1628
1975,854
635,1818
1841,667
896,2010
1578,543
1096,2034
1358,517
1335,2009
1129,641
1665,1841
817,778
1844,1675
673,985
1965,1484
575,1305
1963,1151
543,1516
1994,936
600,1700
1911,761
826,1930
1700,570
976,2006
1505,534
1230,2021
1267,588
1543,1936
957,680
1726,1785
768,855
1913,1550
605,1211
2033,1206
534,1438
2040,1043
568,1636
2012,807
735,1896
1757,609
900,1996
1558,547
1118,1934
1347,516
1421,1985
1026,630
1653,1854
829,773
1823,1700
674,1065
2075,1374
557,1265
2040,1158
570,1507
2015,934
659,1778
1864,698
804,1935
1702,614
974,2005
1494,527
1261,2025
1173,575
1519,1945
948,674
1721,1797
773,912
1933,1525
615,1138
2023,1308
527,1376
2040,1078
594,1686
1955,800
689,1789
1776,625
844,1961
1635,563
1186,2038
1321,539
1376,1983
1078,596
1586,1909
905,872
1860,1662
661,993
1968,1404
575,1211
2026,1223
539,1547
2001,922
635,1733
1918,744
765,1918
1719,602
1049,2024
1424,530
1270,2021
1207,563
1491,1959
1000,727
1770,1738
725,898
1924,1548
597,1109
2026,1318
541,1438
2059,986
571,1636
1986,830
676,1815
1860,669
905,1997
1624,517
1104,2044
1358,529
1352,2005
1119,638
1678,1841
818,778
1823,1689
678,941
1945,1489
578,1286
2053,1162
517,1479
2017,959
608,1701
1932,729
791,1922
1702,594
955,2008
1500,525
1174,2038
1295,588
1496,1940
971,676
1714,1826
787,881
1918,1582
614,1205
2028,1255
522,1399
2037,1037
557,1605
1975,804
713,1873
1775,637
891,2015
1584,543
1098,1999
1376,563
1434,1983
1057,626
1620,1879
848,760
1792,1707
690,1036
1988,1439
539,1245
2033,1202
571,1478
2027,960
622,1766
1883,702
770,1910
