Voltage,Current
1931,596
639,1153
1716,2023
1884,1299
783,527
765,1372
1870,2005
1676,1045
622,596
998,1604
2001,1919
1482,843
555,738
1246,1849
2044,1742
1225,654
555,901
1499,1966
2005,1486
943,540
648,1159
1726,2064
1868,1267
768,525
831,1451
1944,1997
1670,1005
611,610
1038,1674
2002,1860
1399,749
560,752
1313,1875
2040,1698
1160,628
583,1096
1598,2009
1967,1459
909,534
677,1239
1780,2012
1788,1159
700,591
870,1507
1950,1983
1615,890
589,650
1131,1735
2072,1839
1341,718
539,819
1348,1905
2013,1621
1073,581
566,1041
1622,2011
1941,1386
870,526
730,1314
1844,2015
1750,1137
665,544
913,1541
1780,1959
1522,881
559,670
1152,1772
2039,1815
1265,707
542,868
1425,1940
2014,1596
1052,568
597,1076
1640,2024
1884,1322
794,534
757,1343
1871,2059
1737,1100
656,584
986,1626
2017,1933
1522,855
561,698
1218,1808
2066,1746
1219,657
539,907
1485,1944
2017,1530
992,547
667,1185
1723,2026
1879,1248
778,524
797,1400
1910,1998
1650,991
609,611
1002,1645
2014,1901
1425,804
543,766
1301,1881
2037,1694
1166,622
553,955
1534,1994
1968,1453
896,518
700,1226
1772,2040
1858,1193
739,518
874,1503
1948,1986
1614,955
595,623
1074,1699
2027,1832
1360,722
540,796
1341,1899
2054,1678
1133,628
586,999
1596,2002
1949,1417
870,529
686,1261
1801,2038
1766,1132
652,537
906,1534
2005,1960
1556,895
565,700
1195,1768
2048,1798
1286,704
542,855
1420,1921
1994,1556
1010,574
609,1119
1654,2050
1909,1341
815,518
784,1372
1891,2023
1728,1074
648,575
944,1591
2006,1931
1468,834
543,718
1229,1824
2040,1789
1245,661
543,932
1497,1985
1997,1529
985,527
620,1131
1684,2026
1866,1261
739,518
792,1406
1870,2012
1693,1037
633,580
1090,1670
2012,1894
1427,804
519,740
1262,1844
2038,1709
1152,611
566,959
1547,1986
1979,1543
896,537
703,1239
1769,2034
1818,1215
726,556
839,1450
1918,1971
1608,950
572,623
1074,1697
2028,1866
1440,767
482,804
1352,1905
2040,1664
1113,597
588,1027
1591,1978
1929,1379
857,527
714,1331
1857,2027
1778,1160
679,603
931,1554
1979,1961
1542,894
584,666
1145,1762
2049,1788
1282,693
553,834
1416,1958
2019,1601
1043,596
678,1108
1676,2029
1929,1331
797,521
724,1310
1848,2042
1732,1061
637,563
970,1607
1979,1933
1514,860
565,714
1232,1831
2026,1757
1240,670
557,890
1455,1973
1997,1521
966,543
631,1143
1685,2064
1887,1279
775,549
804,1406
1858,2016
1669,1029
612,609
1020,1669
2031,1867
1399,779
535,759
1394,1867
2040,1702
1152,625
570,967
1586,1977
1975,1449
921,549
686,1211
1755,2036
1816,1167
691,546
865,1535
1937,1988
1629,950
596,653
1116,1729
2046,1853
1350,740
532,791
1334,1884
2031,1626
1081,585
586,1051
1598,2023
1942,1426
879,525
713,1299
1825,2024
1780,1146
676,598
887,1526
1935,1951
1520,879
570,660
1142,1738
2038,1830
1321,702
533,855
1434,1939
2045,1610
1052,572
556,1079
1635,2021
1886,1331
817,524
763,1335
1861,2003
1735,1113
661,581
944,1609
1979,1931
1518,860
540,770
1182,1802
2070,1755
1213,663
543,899
1456,1957
2001,1558
994,569
656,1180
1726,2037
1871,1215
774,519
794,1405
1895,1989
1666,1009
583,603
1017,1662
2010,1857
1463,808
532,800
1296,1871
2040,1700
1182,632
537,937
1522,1968
1962,1464
908,538
669,1207
1756,2035
1841,1231
736,529
846,1492
1950,1979
1626,964
589,607
1052,1680
2003,1849
1410,736
575,813
1329,1889
2013,1669
1137,618
581,962
1601,2017
1949,1416
860,518
687,1258
1778,2040
1767,1147
671,543
861,1518
1950,1961
1568,920
557,676
1169,1737
2036,1800
1270,700
531,911
1414,1928
2014,1562
1022,595
607,1077
1651,1986
1916,1346
830,532
765,1364
1862,2021
1728,1063
585,571
969,1561
1979,1919
1477,838
557,734
1209,1852
2028,1778
1259,674
561,924
1485,1969
1989,1543
1000,569
648,1126
1688,2034
1862,1271
755,503
780,1404
1884,2017
1697,1040
656,652
979,1661
2010,1901
1449,783
548,740
1264,1841
2031,1686
1163,624
574,938
1532,2008
2025,1503
953,544
682,1219
1762,2034
1841,1224
740,508
823,1439
1910,2009
1625,958
595,638
1065,1703
1981,1870
1408,774
535,804
1344,1909
2038,1661
1108,623
576,1014
1590,1991
1936,1387
844,531
704,1320
1805,2030
1767,1143
686,561
922,1556
1942,1960
1551,946
589,660
1128,1763
2066,1789
1283,690
539,867
1398,1945
2018,1645
1083,596
602,1091
1665,2031
1889,1348
823,550
734,1323
1892,2024
1722,1071
635,602
950,1594
1989,1949
1519,881
560,650
1204,1815
2044,1584
1253,671
552,871
1442,1943
1990,1526
985,556
628,1132
1684,2024
1892,1254
791,458
791,1412
1887,1999
1702,1043
648,796
1036,1651
2001,1898
1396,693
536,744
1274,1854
2041,1716
1192,646
557,999
1574,1998
1970,1448
939,537
655,1181
1754,2037
1819,1194
713,530
864,1466
1882,1992
1631,985
601,624
1089,1717
2022,1866
1366,763
526,787
1330,1872
2028,1625
1094,597
570,1030
1607,2004
1957,1447
870,530
743,1288
1833,2034
1754,1149
687,556
874,1518
1957,1945
1545,890
560,649
1150,1718
2038,1815
1325,708
553,864
1420,1947
2018,1593
1051,574
592,1057
1643,2013
1905,1334
809,523
744,1348
1857,2062
1754,1117
661,604
952,1587
1946,1935
1520,855
556,681
1173,1789
2057,1754
1234,662
542,884
1477,1961
2005,1513
999,556
666,1174
1733,2040
1870,1211
766,544
778,1387
1886,1997
1656,1022
620,606
1017,1644
2009,1907
1457,807
552,779
1303,1854
2041,1716
1201,600
557,957
1502,1982
1979,1464
918,568
661,1202
1781,2031
1849,1242
779,544
852,1489
1916,1945
1663,959
596,611
1050,1690
2029,1791
1368,750
557,751
1311,1883
2042,1691
1148,582
586,1033
1583,2006
1954,1411
881,525
686,1245
1783,2027
1781,1154
683,536
887,1513
1962,1975
1556,897
570,701
1156,1769
2026,1788
1300,700
531,825
1394,1927
2013,1571
1027,568
601,1088
1710,2012
1923,1362
887,439
752,1362
1858,2021
1731,1076
649,550
942,1587
1979,1919
1484,821
550,761
1208,1777
2043,1771
1261,665
556,920
1494,1970
2013,1524
995,543
630,1121
1688,2028
1884,1271
763,520
789,1402
1884,1989
1698,1061
638,604
1008,1660
2014,1898
1433,804
540,731
1249,1841
2014,1712
1167,624
560,948
1518,1997
1996,1500
956,537
661,1231
1757,2034
1856,1243
722,532
818,1439
1909,1983
1636,961
602,646
1057,1684
2001,1873
1456,757
533,800
1326,1924
1976,1659
1127,608
583,988
1578,2002
1949,1395
867,498
701,1284
1806,2054
1806,1167
708,556
906,1556
1966,1967
1581,881
522,660
1130,1745
2039,1818
1300,689
539,832
1388,1905
2028,1579
1079,590
604,1097
1654,2012
1919,1335
830,530
727,1310
1835,2023
1719,1079
647,567
959,1575
1984,1949
1552,847
557,648
1208,1813
2042,1758
1272,671
533,881
1427,1943
2002,1502
992,549
605,1138
1675,2038
1893,1311
796,520
786,1410
1889,2005
1702,1065
626,544
997,1642
2002,1867
1422,767
535,752
1283,1828
2024,1715
1188,643
557,981
1534,1986
1974,1479
994,543
657,1177
1757,2058
